"","Date","Lead.Contract","CL0","CL1","CL2","CL3","CL4","CL5"
"97","19900522","CCAN90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01"
"98","19900523","CCAN90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01"
"99","19900524","CCAN90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01"
"100","19900525","CCAN90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01"
"101","19900529","CCAN90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01"
"102","19900530","CCAN90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01"
"103","19900531","CCAN90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01"
"104","19900601","CCAN90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01"
"105","19900604","CCAN90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01"
"106","19900605","CCAN90.b01","CCAN90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01"
"107","19900606","CCAU90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01","CCAU91.b01"
"108","19900607","CCAU90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01","CCAU91.b01"
"109","19900608","CCAU90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01","CCAU91.b01"
"110","19900611","CCAU90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01","CCAU91.b01"
"111","19900612","CCAU90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01","CCAU91.b01"
"112","19900613","CCAU90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01","CCAU91.b01"
"113","19900614","CCAU90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01","CCAU91.b01"
"114","19900615","CCAU90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01","CCAU91.b01"
"115","19900618","CCAU90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01","CCAU91.b01"
"116","19900619","CCAU90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01","CCAU91.b01"
"117","19900620","CCAU90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01","CCAU91.b01"
"118","19900621","CCAU90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01","CCAU91.b01"
"119","19900622","CCAU90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01","CCAU91.b01"
"120","19900625","CCAU90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01","CCAU91.b01"
"121","19900626","CCAU90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01","CCAU91.b01"
"122","19900627","CCAU90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01","CCAU91.b01"
"123","19900628","CCAU90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01","CCAU91.b01"
"124","19900629","CCAU90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01","CCAU91.b01"
"125","19900702","CCAU90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01","CCAU91.b01"
"126","19900703","CCAU90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01","CCAU91.b01"
"127","19900705","CCAU90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01","CCAU91.b01"
"128","19900706","CCAU90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01","CCAU91.b01"
"129","19900709","CCAU90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01","CCAU91.b01"
"130","19900710","CCAU90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01","CCAU91.b01"
"131","19900711","CCAU90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01","CCAU91.b01"
