,,,,TICKERS,,,,,,,,,,CLOSING PRICES,,,
,,,,,,,,,,,,,,Closing time is 12:30 pm CHICAGO TIME,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
YYYYMMDD,Lead Contract,,GC0,GC1,GC2,GC3,GC4,GC5,,,,GC0,GC1,GC2,GC3,GC4,GC5
19900605,GCQ90,,GCQ90,,,,,,,,,363.2,,,,,
19900606,GCQ90,,GCQ90,,,,,,,,,360.4,,,,,
19900607,GCQ90,,GCQ90,,,,,,,,,357.2,,,,,
19900608,GCQ90,,GCQ90,,,,,,,,,357.8,,,,,
19900611,GCQ90,,GCQ90,,,,,,,,,360,,,,,
19900612,GCQ90,,GCQ90,,,,,,,,,359.8,,,,,
19900613,GCQ90,,GCQ90,,,,,,,,,354.8,,,,,
19900614,GCQ90,,GCQ90,,,,,,,,,349.3,,,,,
19900615,GCQ90,,GCQ90,,,,,,,,,351.6,,,,,
19900618,GCQ90,,GCQ90,,,,,,,,,352.8,,,,,
19900619,GCQ90,,GCQ90,,,,,,,,,351.5,,,,,
19900620,GCQ90,,GCQ90,,,,,,,,,353.2,,,,,
19900621,GCQ90,,GCQ90,,,,,,,,,352.8,,,,,
19900622,GCQ90,,GCQ90,,,,,,,,,352.9,,,,,
19900625,GCQ90,,GCQ90,,,,,,,,,356.1,,,,,
19900626,GCQ90,,GCQ90,,,,,,,,,352.7,,,,,
19900627,GCQ90,,GCQ90,,,,,,,,,353.2,,,,,
19900628,GCQ90,,GCQ90,,,,,,,,,354.4,,,,,
19900629,GCQ90,,GCQ90,,,,,,,,,359.2,,,,,
19900702,GCQ90,,GCQ90,,,,,,,,,360.4,,,,,
19900703,GCQ90,,GCQ90,,,,,,,,,364.7,,,,,
19900705,GCQ90,,GCQ90,,,,,,,,,363.4,,,,,
19900706,GCQ90,,GCQ90,,,,,,,,,363.7,,,,,
19900709,GCQ90,,GCQ90,,,,,,,,,360.9,,,,,
19900710,GCQ90,,GCQ90,,,,,,,,,356.4,,,,,
19900711,GCQ90,,GCQ90,,,,,,,,,355.6,,,,,
19900712,GCQ90,,GCQ90,,,,,,,,,356.5,,,,,
19900713,GCQ90,,GCQ90,,,,,,,,,367.3,,,,,
19900716,GCQ90,,GCQ90,,,,,,,,,364.7,,,,,
19900717,GCQ90,,GCQ90,,,,,,,,,363.5,,,,,
19900718,GCQ90,,GCQ90,,,,,,,,,362.6,,,,,
19900719,GCQ90,,GCQ90,,,,,,,,,363.2,,,,,
19900720,GCQ90,,GCQ90,,,,,,,,,362.5,,,,,
19900723,GCQ90,,GCQ90,,,,,,,,,370.4,,,,,
19900724,GCQ90,,GCQ90,,,,,,,,,368.3,,,,,
19900725,GCQ90,,GCQ90,,,,,,,,,373.3,,,,,
19900726,GCQ90,,GCQ90,,,,,,,,,369.5,,,,,
19900727,GCQ90,,GCQ90,,,,,,,,,366.9,,,,,
19900730,GCQ90,,GCQ90,,,,,,,,,368.2,,,,,
19900731,GCZ90,,GCZ90,,,,,,,,,378.2,,,,,
19900801,GCZ90,,GCZ90,,,,,,,,,382.4,,,,,
19900802,GCZ90,,GCZ90,,,,,,,,,389.2,,,,,
19900803,GCZ90,,GCZ90,,,,,,,,,389.4,,,,,
19900806,GCZ90,,GCZ90,,,,,,,,,392.8,,,,,
19900807,GCZ90,,GCZ90,,,,,,,,,390.7,,,,,
19900808,GCZ90,,GCZ90,,,,,,,,,391.5,,,,,
19900809,GCZ90,,GCZ90,,,,,,,,,393.4,,,,,
19900810,GCZ90,,GCZ90,,,,,,,,,403,,,,,
19900813,GCZ90,,GCZ90,,,,,,,,,414,,,,,
19900814,GCZ90,,GCZ90,,,,,,,,,415,,,,,
19900815,GCZ90,,GCZ90,,,,,,,,,412.8,,,,,
19900816,GCZ90,,GCZ90,,,,,,,,,415.4,,,,,
19900817,GCZ90,,GCZ90,,,,,,,,,417.5,,,,,
19900820,GCZ90,,GCZ90,,,,,,,,,416.6,,,,,
19900821,GCZ90,,GCZ90,,,,,,,,,415.3,,,,,
19900822,GCZ90,,GCZ90,,,,,,,,,419,,,,,
19900823,GCZ90,,GCZ90,,,,,,,,,420.7,,,,,
19900824,GCZ90,,GCZ90,,,,,,,,,421,,,,,
19900827,GCZ90,,GCZ90,,,,,,,,,400,,,,,
19900828,GCZ90,,GCZ90,,,,,,,,,389.3,,,,,
19900829,GCZ90,,GCZ90,,,,,,,,,390,,,,,
19900830,GCZ90,,GCZ90,,,,,,,,,396.4,,,,,
19900831,GCZ90,,GCZ90,,,,,,,,,391.4,,,,,
19900905,GCZ90,,GCZ90,,,,,,,,,393.1,,,,,
19900906,GCZ90,,GCZ90,,,,,,,,,394.7,,,,,
19900907,GCZ90,,GCZ90,,,,,,,,,395.5,,,,,
19900910,GCZ90,,GCZ90,,,,,,,,,384.5,,,,,
19900911,GCZ90,,GCZ90,,,,,,,,,386.5,,,,,
19900912,GCZ90,,GCZ90,,,,,,,,,387.9,,,,,
19900913,GCZ90,,GCZ90,,,,,,,,,390,,,,,
19900914,GCZ90,,GCZ90,,,,,,,,,392.5,,,,,
19900917,GCZ90,,GCZ90,,,,,,,,,395.3,,,,,
19900918,GCZ90,,GCZ90,,,,,,,,,393.9,,,,,
19900919,GCZ90,,GCZ90,,,,,,,,,391.3,,,,,
19900920,GCZ90,,GCZ90,,,,,,,,,391.3,,,,,
19900921,GCZ90,,GCZ90,,,,,,,,,393.7,,,,,
19900924,GCZ90,,GCZ90,,,,,,,,,404.2,,,,,
19900925,GCZ90,,GCZ90,,,,,,,,,407.8,,,,,
19900926,GCZ90,,GCZ90,,,,,,,,,411.7,,,,,
19900927,GCZ90,,GCZ90,,,,,,,,,410.7,,,,,
19900928,GCZ90,,GCZ90,,,,,,,,,409.8,,,,,
19901001,GCZ90,,GCZ90,,,,,,,,,394,,,,,
19901002,GCZ90,,GCZ90,,,,,,,,,391.7,,,,,
19901003,GCZ90,,GCZ90,,,,,,,,,396.9,,,,,
19901004,GCZ90,,GCZ90,,,,,,,,,396.5,,,,,
19901005,GCZ90,,GCZ90,,,,,,,,,398,,,,,
19901008,GCZ90,,GCZ90,,,,,,,,,399.7,,,,,
19901009,GCZ90,,GCZ90,,,,,,,,,394,,,,,
19901010,GCZ90,,GCZ90,,,,,,,,,391.1,,,,,
19901011,GCZ90,,GCZ90,,,,,,,,,393.3,,,,,
19901012,GCZ90,,GCZ90,,,,,,,,,391.4,,,,,
19901015,GCZ90,,GCZ90,,,,,,,,,375.5,,,,,
19901016,GCZ90,,GCZ90,,,,,,,,,367.2,,,,,
19901017,GCZ90,,GCZ90,,,,,,,,,368.6,,,,,
19901018,GCZ90,,GCZ90,,,,,,,,,370.3,,,,,
19901019,GCZ90,,GCZ90,,,,,,,,,376.2,,,,,
19901022,GCZ90,,GCZ90,,,,,,,,,373.3,,,,,
19901023,GCZ90,,GCZ90,,,,,,,,,373.5,,,,,
19901024,GCZ90,,GCZ90,,,,,,,,,375.1,,,,,
19901025,GCZ90,,GCZ90,,,,,,,,,378.6,,,,,
19901026,GCZ90,,GCZ90,,,,,,,,,374,,,,,
19901029,GCZ90,,GCZ90,,,,,,,,,375.5,,,,,
19901030,GCZ90,,GCZ90,,,,,,,,,379.8,,,,,
19901031,GCZ90,,GCZ90,,,,,,,,,381.5,,,,,
19901101,GCZ90,,GCZ90,,,,,,,,,384.4,,,,,
19901102,GCZ90,,GCZ90,,,,,,,,,378.1,,,,,
19901105,GCZ90,,GCZ90,,,,,,,,,382.5,,,,,
19901106,GCZ90,,GCZ90,,,,,,,,,386.3,,,,,
19901107,GCZ90,,GCZ90,,,,,,,,,391,,,,,
19901108,GCZ90,,GCZ90,,,,,,,,,386.7,,,,,
19901109,GCZ90,,GCZ90,,,,,,,,,385,,,,,
19901112,GCZ90,,GCZ90,,,,,,,,,382.9,,,,,
19901113,GCZ90,,GCZ90,,,,,,,,,386.6,,,,,
19901114,GCZ90,,GCZ90,,,,,,,,,379.4,,,,,
19901115,GCZ90,,GCZ90,,,,,,,,,379.4,,,,,
19901116,GCZ90,,GCZ90,,,,,,,,,377.5,,,,,
19901119,GCZ90,,GCZ90,,,,,,,,,383.3,,,,,
19901120,GCZ90,,GCZ90,,,,,,,,,377.9,,,,,
19901121,GCZ90,,GCZ90,,,,,,,,,380.6,,,,,
19901123,GCZ90,,GCZ90,,,,,,,,,383.8,,,,,
19901126,GCZ90,,GCZ90,,,,,,,,,387.4,,,,,
19901127,GCZ90,,GCZ90,,,,,,,,,385.6,,,,,
19901128,GCZ90,,GCZ90,,,,,,,,,385.8,,,,,
19901129,GCG91,,GCG91,,,,,,,,,391.2,,,,,
19901130,GCG91,,GCG91,,,,,,,,,385.4,,,,,
19901203,GCG91,,GCG91,,,,,,,,,380.1,,,,,
19901204,GCG91,,GCG91,,,,,,,,,379.8,,,,,
19901205,GCG91,,GCG91,,,,,,,,,375.9,,,,,
19901206,GCG91,,GCG91,,,,,,,,,372.9,,,,,
19901207,GCG91,,GCG91,,,,,,,,,372.3,,,,,
19901210,GCG91,,GCG91,,,,,,,,,377.1,,,,,
19901211,GCG91,,GCG91,,,,,,,,,373.5,,,,,
19901212,GCG91,,GCG91,,,,,,,,,374.2,,,,,
19901213,GCG91,,GCG91,,,,,,,,,375.4,,,,,
19901214,GCG91,,GCG91,,,,,,,,,379.2,,,,,
19901217,GCG91,,GCG91,,,,,,,,,379.5,,,,,
19901218,GCG91,,GCG91,,,,,,,,,379.9,,,,,
19901219,GCG91,,GCG91,,,,,,,,,384.7,,,,,
19901220,GCG91,,GCG91,,,,,,,,,386.9,,,,,
