,Date,Lead.Contract,CL0,CL1,CL2,CL3,CL4,CL0.value,CL1.value,CL2.value,CL3.value,CL4.value
5129,20100831,SBAV10.b01,SBAV10.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,20.05,19.59,18.54,17.51,17.09
5130,20100901,SBAV10.b01,SBAV10.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,20.36,19.81,18.76,17.8,17.3
5131,20100902,SBAV10.b01,SBAV10.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,20.85,20.25,19.22,18.2,17.61
5132,20100903,SBAV10.b01,SBAV10.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,20.71,20.2,19.2,18.23,17.73
5133,20100907,SBAV10.b01,SBAV10.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,21.38,20.89,19.82,18.82,18.2
5134,20100908,SBAV10.b01,SBAV10.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,21.38,20.77,19.68,18.65,18.06
5135,20100909,SBAV10.b01,SBAV10.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,22.11,21.21,20.03,18.96,18.35
5136,20100910,SBAV10.b01,SBAV10.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,23,21.88,20.64,19.4,18.61
5137,20100913,SBAV10.b01,SBAV10.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,23.3,22.47,21.06,19.79,18.89
5138,20100914,SBAV10.b01,SBAV10.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,24.38,23.41,21.67,19.95,19.03
5139,20100915,SBAV10.b01,SBAV10.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,23.81,22.71,21.13,19.61,18.84
5140,20100916,SBAH11.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,SBAH12.b01,23.26,21.51,19.97,19.1,18.3
