"","EK"
"1997-12-01",1.34020618556701
"1997-12-02",-0.915564598168871
"1997-12-03",-1.23203285420945
"1997-12-04",-1.03950103950104
"1997-12-05",-1.05042016806723
"1997-12-08",-0.849256900212314
"1997-12-09",-0.535331905781585
"1997-12-10",-1.82992465016146
"1997-12-11",-2.41228070175439
"1997-12-12",-2.47191011235955
"1997-12-15",-0.230414746543779
"1997-12-16",0.69284064665127
"1997-12-17",3.6697247706422
"1997-12-18",2.65486725663717
"1997-12-19",0
"1997-12-22",-0.107758620689655
"1997-12-23",-0.539374325782093
"1997-12-24",0.433839479392625
"1997-12-26",-1.07991360691145
"1997-12-29",1.41921397379913
"1997-12-30",2.90635091496232
"1997-12-31",1.35983263598326
"1998-01-02",5.05675954592363
"1998-01-05",-0.982318271119843
"1998-01-06",2.28174603174603
"1998-01-07",0.484966052376334
"1998-01-08",-2.12355212355212
"1998-01-09",-1.4792899408284
"1998-01-12",0.4004004004004
"1998-01-13",-2.19341974077767
"1998-01-14",-2.95616717635066
"1998-01-15",-1.68067226890756
"1998-01-16",0.747863247863248
"1998-01-20",2.33297985153765
"1998-01-21",0
"1998-01-22",2.17616580310881
"1998-01-23",1.01419878296146
"1998-01-26",0.200803212851406
"1998-01-27",2.50501002004008
"1998-01-28",2.54154447702835
"1998-01-29",-0.190657769304099
"1998-01-30",-0.286532951289398
"1998-02-02",0
"1998-02-03",1.14942528735632
"1998-02-04",-0.852272727272727
"1998-02-05",-0.955109837631328
"1998-02-06",0.482160077145612
"1998-02-09",-0.575815738963532
"1998-02-10",1.54440154440154
"1998-02-11",1.42585551330798
"1998-02-12",0.28116213683224
"1998-02-13",0.0934579439252337
"1998-02-17",-0.280112044817927
"1998-02-18",-0.936329588014981
"1998-02-19",-1.70132325141777
"1998-02-20",1.44230769230769
"1998-02-23",-0.853080568720379
"1998-02-24",-0.573613766730402
"1998-02-25",0.961538461538462
"1998-02-26",-3.52380952380952
"1998-02-27",3.65251727541955
"1998-03-02",2.85714285714286
"1998-03-03",0
"1998-03-04",-1.48148148148148
"1998-03-05",-2.72556390977444
"1998-03-06",-0.193236714975845
"1998-03-09",-1.25847047434656
"1998-03-10",-1.07843137254902
"1998-03-11",-0.0991080277502478
"1998-03-12",-0.297619047619048
"1998-03-13",-3.28358208955224
"1998-03-16",2.98353909465021
"1998-03-17",-2.5974025974026
"1998-03-18",1.84615384615385
"1998-03-19",0.604229607250755
"1998-03-20",0.500500500500501
"1998-03-23",0.796812749003984
"1998-03-24",1.77865612648221
"1998-03-25",-1.06796116504854
"1998-03-26",-0.588812561334642
"1998-03-27",0.987166831194472
"1998-03-30",0.0977517106549365
"1998-03-31",1.3671875
"1998-04-01",1.54142581888247
"1998-04-02",0.759013282732448
"1998-04-03",-2.73069679849341
"1998-04-06",-0.677637947725073
"1998-04-07",-0.974658869395711
"1998-04-08",0.78740157480315
"1998-04-09",0.09765625
"1998-04-13",4.58536585365854
"1998-04-14",5.69029850746269
"1998-04-15",1.58870255957635
"1998-04-16",-0.347523892267593
"1998-04-17",-1.4821272885789
"1998-04-20",3.98230088495575
"1998-04-21",-2.12765957446809
"1998-04-22",2.34782608695652
"1998-04-23",-1.10450297366185
"1998-04-24",-0.77319587628866
"1998-04-27",-1.47186147186147
"1998-04-28",-1.5817223198594
"1998-04-29",2.23214285714286
"1998-04-30",0.873362445414847
"1998-05-01",1.64502164502165
"1998-05-04",3.83304940374787
"1998-05-05",-1.88679245283019
"1998-05-06",-1.75585284280936
"1998-05-07",-2.04255319148936
"1998-05-08",-0.52128583840139
"1998-05-11",0.524017467248908
"1998-05-12",-1.04257167680278
"1998-05-13",0.702370500438982
"1998-05-14",-1.5693112467306
"1998-05-15",-1.32860938883968
"1998-05-18",1.25673249551167
"1998-05-19",-0.354609929078014
"1998-05-20",0.622775800711744
"1998-05-21",-0.795755968169761
"1998-05-22",0.623885918003565
"1998-05-26",-0.354295837023915
"1998-05-27",0.0888888888888889
"1998-05-28",0.44404973357016
"1998-05-29",0.972590627763042
"1998-06-01",1.66374781085814
"1998-06-02",-1.80878552971576
"1998-06-03",-2.01754385964912
"1998-06-04",-1.16383169203223
"1998-06-05",0.815217391304348
"1998-06-08",1.07816711590297
"1998-06-09",2.13333333333333
"1998-06-10",-2.17580504786771
"1998-06-11",-1.15658362989324
"1998-06-12",0.63006300630063
"1998-06-15",-2.77280858676208
"1998-06-16",-0.919963201471941
"1998-06-17",1.20705663881151
"1998-06-18",-0.275229357798165
"1998-06-19",-1.19595216191352
"1998-06-22",0.186219739292365
"1998-06-23",-0.464684014869888
"1998-06-24",2.52100840336134
"1998-06-25",1.183970856102
"1998-06-26",0.99009900990099
"1998-06-29",0.71301247771836
"1998-06-30",3.45132743362832
"1998-07-01",0.171086398631309
"1998-07-02",0.170794192997438
"1998-07-06",0.255754475703325
"1998-07-07",-0.425170068027211
"1998-07-08",1.53714773697694
"1998-07-09",0.0841042893187553
"1998-07-10",-1.09243697478992
"1998-07-13",-0.594732370433305
"1998-07-14",0.854700854700855
"1998-07-15",11.864406779661
"1998-07-16",5.45454545454545
"1998-07-17",-0.862068965517241
"1998-07-20",2.2463768115942
"1998-07-21",-1.63004961020553
"1998-07-22",1.44092219020173
"1998-07-23",-3.40909090909091
"1998-07-24",-0.294117647058824
"1998-07-27",-0.884955752212389
"1998-07-28",-1.19047619047619
"1998-07-29",0.0753012048192771
"1998-07-30",2.93453724604966
"1998-07-31",-1.90058479532164
"1998-08-03",-2.83159463487332
"1998-08-04",-0.53680981595092
"1998-08-05",0.23130300693909
"1998-08-06",2.15384615384615
"1998-08-07",0.677710843373494
"1998-08-10",0.37397157816006
"1998-08-11",-1.63934426229508
"1998-08-12",-0.984848484848485
"1998-08-13",0.459066564651875
"1998-08-14",0.533130236100533
"1998-08-17",3.71212121212121
"1998-08-18",1.53396639883126
"1998-08-19",0.215827338129496
"1998-08-20",-1.14860014357502
"1998-08-21",-1.52505446623094
"1998-08-24",1.03244837758112
"1998-08-25",-0.145985401459854
"1998-08-26",1.0233918128655
"1998-08-27",-2.24312590448625
"1998-08-28",-3.40488527017024
"1998-08-31",-4.21455938697318
"1998-09-01",2.32
"1998-09-02",3.36200156372166
"1998-09-03",-0.75642965204236
"1998-09-04",-1.21951219512195
"1998-09-08",0.308641975308642
"1998-09-09",0.461538461538462
"1998-09-10",-3.21592649310873
"1998-09-11",-1.26582278481013
"1998-09-14",2.96474358974359
"1998-09-15",1.86770428015564
"1998-09-16",3.59052711993888
"1998-09-17",-1.17994100294985
"1998-09-18",1.49253731343284
"1998-09-21",0.441176470588235
"1998-09-22",-2.26939970717423
"1998-09-23",0.749063670411985
"1998-09-24",-2.00743494423792
"1998-09-25",-1.82094081942337
"1998-09-28",-2.16383307573416
"1998-09-29",-1.50078988941548
"1998-09-30",-1.36327185244587
"1998-10-01",-2.76422764227642
"1998-10-02",1.67224080267559
"1998-10-05",-1.48026315789474
"1998-10-06",1.75292153589316
"1998-10-07",1.4766201804758
"1998-10-08",1.94017784963622
"1998-10-09",4.12371134020619
"1998-10-12",1.82787509520183
"1998-10-13",-185.190725504862
"1998-10-14",-202.194907813872
"1998-10-15",2.4914089347079
"1998-10-16",0
"1998-10-19",-0.838222967309304
"1998-10-20",2.28233305156382
"1998-10-21",1.15702479338843
"1998-10-22",-2.53267973856209
"1998-10-23",-1.42497904442582
"1998-10-26",-0.510204081632653
"1998-10-27",2.05128205128205
"1998-10-28",-0.16750418760469
"1998-10-29",1.92953020134228
"1998-10-30",2.05761316872428
"1998-11-02",0.483870967741935
"1998-11-03",-2.48796147672552
"1998-11-04",0.740740740740741
"1998-11-05",0.245098039215686
"1998-11-06",1.71149144254279
"1998-11-09",1.5224358974359
"1998-11-10",-0.789265982636148
"1998-11-11",-1.03420843277645
"1998-11-12",-0.643086816720257
"1998-11-13",0.323624595469256
