Row.names,AAPL,AXP,BA,CAT,CSCO,CVX,KO,DWDP,XOM,GS,HD,IBM,INTC,JNJ,JPM,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,V,VZ,WMT,DIS,WBA,GE,T,BAC,AA,C,MO,IP,GT,SHLD,HPQ,AIG,DD,KFT,SBC,UK,HON
11/04/97,-3.311195404,-1.890759146,-1.713586291,-1.125401929,-2.612813401,-3.488372093,-5.701754386,-1.860465116,-2.173913043,NA,-3.956043921,0.281954887,-4.918032787,-3.908045977,-4.116863745,-2.544529262,-2.548725637,-2.242152466,-1.80878553,-1.34529148,-2.199413541,-2.716823406,-1.682242991,-3.80952381,-2.852348993,NA,-3.131523698,-2.643171806,-2.195941717,-1.497005988,-3.571424771,-2.163461538,-3.896103896,-1.38387238,-5.357143032,1.533402794,-2.134145964,-1.470588235,NA,-0.997504854,NA,-2.808302808,NA,NA,0.281690141,-1.792118994
14/04/97,2.739702909,-0.428267486,0.373599004,3.25203252,3.902434741,2.610441767,3.488372093,-0.631909005,2.222222222,NA,2.51716611,2.343017807,2.490421456,1.435406699,0.277003872,1.566579634,0.153846154,1.070336391,2.5,2.727272727,2.99850322,2.792696026,-0.760456274,-0.99009901,0.172711572,NA,-0.646551658,0.452488688,-1.727120399,0.607902736,2.171132567,-1.965601966,0.225225225,-0.122028164,4.312672063,-0.323624595,-1.869163956,-0.248756219,NA,0,NA,0.753768844,NA,NA,2.808988764,-0.364959111
15/04/97,-1.666708978,2.79569999,0.124069479,4.566929134,-5.868540514,0.391389432,4.269662921,2.543717582,0.966183575,NA,1.339280297,1.007326007,-2.056074766,3.773584906,2.34806856,0.771208226,2.150537634,2.269288956,-0.256739409,3.318584071,-0.582239301,1.880877743,1.149425287,-0.624992,1.896551724,NA,1.518439308,2.702702703,3.866430173,1.510574018,2.875008115,3.007518797,0.674157303,1.527183912,3.875968992,1.298701299,-0.317454758,0.997506234,NA,1.007555267,NA,1.246882793,NA,NA,4.918032787,0.732603668
16/04/97,0.677922859,0.209211717,-1.239157373,1.957831325,-5.236913193,1.364522417,1.293103448,-0.465116279,0,NA,0.440532162,-0.271985494,2.290076336,1.590909091,-3.238866397,2.806122449,0.902255639,1.331360947,1.158301158,-0.642398287,3.66031968,1.641025641,0,-0.377366511,-0.507614213,NA,1.495727592,-1.754385965,2.368868795,3.571428571,2.430129675,1.459854015,-0.892857143,2.888091723,1.492537313,10.8974359,3.503180007,1.728395062,NA,0.748122051,NA,1.600985222,NA,NA,-2.864583333,3.454544572
17/04/97,2.356903881,1.043840332,-0.250941029,1.1816839,4.210521928,-2.115384615,-0.425531915,-0.778818692,-1.435406699,NA,-0.219299994,0.181818182,2.985074627,-1.118568233,0.278942259,-0.992555831,-1.490312966,0.729927007,-0.127226463,-6.681034483,0.141240678,-1.917255298,0.378787879,1.767676768,0.510204082,NA,1.684209068,-0.446428571,0.165291723,-0.862068966,-1.423487544,-1.199040767,0.45045045,-0.350877184,-1.715689412,-3.757225434,3.076924075,1.213592233,NA,0.742575466,NA,1.454545455,NA,NA,2.144772118,-1.230227721
18/04/97,-3.289412604,-0.826444361,0.251572327,-1.751824818,-2.272727273,1.571709234,1.923076923,1.09890615,3.883495146,NA,0.439563952,1.451905626,-0.634057971,0.904977376,-2.642563502,-0.501253133,0.756429652,0.434782609,9.681528662,-3.695150115,-0.42313118,1.234567901,-0.377358491,-6.451612903,0.169204738,NA,-1.035195345,0.896860987,1.320131602,0,0.842362455,-0.970873786,0,0.117363563,-0.249370183,6.606606607,0.597014145,0.239808153,NA,-1.965599371,NA,0.238948626,NA,NA,-0.524934383,0.889671806
21/04/97,-2.040838095,-2.291677008,-0.878293601,0.14858841,-2.196372093,0.193423598,-1.677148847,-0.776399981,-0.23364486,NA,-0.656460365,-1.699463327,0.911577028,2.69058296,-2.285712052,3.022670025,-0.15015015,-0.144300144,0,0.71942446,0.70821758,0,-1.704545455,-1.856763926,-3.209459459,NA,-0.836821221,-1.333333333,0.162868877,-1.15942029,-0.357995213,-0.490196078,-0.67264574,-1.46541625,-3.250003096,-3.943661972,-0.890208965,-0.4784689,NA,-1.75438581,NA,1.430274136,NA,NA,0.791556728,-1.410931957
22/04/97,2.777756173,3.624738524,2.151898734,3.264094955,0.396294806,2.895752896,5.543710021,0.782475117,3.512880562,NA,0.660798244,1.910828025,1.806684734,3.056768559,2.485382456,0.733496333,5.263157895,3.179190751,2.787456446,1.19047619,3.2348827,4.573170732,0.578034682,-2.702702703,5.235602094,NA,0.210971692,0,1.788608885,2.639296188,3.952095657,3.448275862,2.708803612,3.093401892,3.617567752,-1.173020528,0.598808911,0.480769231,NA,3.061220363,NA,1.762632197,NA,NA,2.094240838,5.366724897
23/04/97,-2.027049525,0.823043387,0.619578686,2.442528736,2.368420953,0,-2.626262626,-0.931676995,-0.678733032,NA,0.875264732,1.696428571,3.815439219,-1.694915254,-1.854498103,0,-1.714285714,-1.680672269,4.06779661,2.352941176,0.953676273,-2.429543246,-0.574712644,-0.833333333,2.985074627,NA,0.631578869,0.900900901,1.118219824,-1.142857143,-1.267288433,-1.428571429,-0.21978022,0.230808815,-0.249370183,-3.264094955,-1.190481824,-0.4784689,NA,-2.227717678,NA,-2.07852194,NA,NA,0,0.169779973
24/04/97,-1.379222982,3.061221749,0.369458128,-2.103786816,-0.642687891,-0.562851782,-0.414937759,2.66457172,-1.138952164,NA,-0.650756644,7.90166813,-0.085470085,0.215517241,-0.726739552,0.242718447,0.145348837,-0.712250712,-0.868621064,0.689655172,0.809716599,-1.992031873,-0.385356455,-1.400560224,-3.220611916,NA,-1.882844955,-1.785714286,-1.105853946,0.867052023,-0.466737007,-2.173913043,0.220264317,-0.115133866,-1.750003144,2.147239264,1.204825047,0.480769231,NA,1.772151718,NA,-3.537735849,NA,NA,-1.538461538,-5.254236678
