"","DD"
"1997-11-12",-2.47933884297521
"1997-11-13",-3.38983050847458
"1997-11-14",0.87719298245614
"1997-11-17",2.60869565217391
"1997-11-18",2.4364406779661
"1997-11-19",-0.517063081695967
"1997-11-20",1.87110187110187
"1997-11-21",2.04081632653061
"1997-11-24",-2.6
"1997-11-25",0.205338809034908
"1997-11-26",-0.409836065573771
"1997-11-28",-0.308641975308642
"1997-12-01",1.54798761609907
"1997-12-02",1.11788617886179
"1997-12-03",1.50753768844221
"1997-12-04",-1.18811881188119
"1997-12-05",3.30661322645291
"1997-12-08",-0.2909796314258
"1997-12-09",-0.291828793774319
"1997-12-10",-0.780487804878049
"1997-12-11",-1.76991150442478
"1997-12-12",-2.4024024024024
"1997-12-15",0.102564102564103
"1997-12-16",1.84426229508197
"1997-12-17",-2.01207243460765
