,Date,Closing.Price.0,MA.Price,,Price.1,Price.2,Price.3,Price.4,Price.5,Price.6,Price.7,Price.8,Price.9,Price.10,,Return.1,Return.2,Return.3,Return.4,Return.5,Return.6,Return.7,Return.8,Return.9,Return.10
85,0011-07-27,1304.890015,1317.1827,,1300.670044,1292.280029,1286.939941,1254.050049,1260.339966,1200.069946,1199.380005,1119.459961,1172.530029,1120.76001,,-0.003233967,-0.009663639,-0.013756005,-0.038961112,-0.034140846,-0.080328662,-0.080857397,-0.142103972,-0.101433825,-0.141107682
86,0011-10-25,1229.050049,1231.675503,,1242,1284.589966,1285.089966,1253.300049,1218.280029,1237.900024,1261.150024,1253.22998,1261.119995,1275.920044,,0.010536553,0.045189305,0.045596123,0.019730686,-0.008762882,0.007200663,0.026117712,0.019673675,0.026093279,0.038135139
87,0011-11-17,1216.130005,1226.801904,,1215.650024,1192.97998,1188.040039,1161.790039,1158.670044,1192.550049,1195.189941,1246.959961,1244.579956,1244.280029,,-0.000394679,-0.019035814,-0.023097832,-0.044682695,-0.047248206,-0.019389338,-0.017218606,0.025350872,0.02339384,0.023147216
88,0012-05-14,1338.349976,1349.666199,,1330.660034,1324.800049,1304.859985,1295.219971,1315.98999,1316.630005,1318.859985,1320.680054,1317.819946,1332.420044,,-0.005745838,-0.010124353,-0.025023343,-0.032226253,-0.016707129,-0.016228917,-0.014562701,-0.013202766,-0.015339807,-0.004430778
89,0012-07-06,1354.680054,1360.194297,,1352.459961,1341.469971,1341.449951,1334.76001,1356.780029,1353.640015,1363.670044,1372.780029,1376.51001,1362.660034,,-0.001638832,-0.009751441,-0.00976622,-0.014704612,0.001550163,-0.000767738,0.006636246,0.01336107,0.016114474,0.005890675
90,0012-07-23,1350.52002,1359.766798,,1338.310059,1337.890015,1360.02002,1385.969971,1385.300049,1379.319946,1375.319946,1365,1390.98999,1394.22998,,-0.009040933,-0.009351957,0.007034327,0.026249112,0.025753064,0.021325064,0.018363242,0.010721781,0.029966213,0.032365281
91,0012-11-07,1394.530029,1401.888499,,1377.51001,1379.849976,1380.030029,1374.530029,1355.48999,1353.329956,1359.880005,1386.890015,1387.810059,1391.030029,,-0.012204842,-0.010526882,-0.010397768,-0.014341749,-0.027995123,-0.029544056,-0.024847098,-0.005478558,-0.004818806,-0.002509806
92,0012-11-26,1406.290039,1406.912001,,1398.939941,1409.930054,1415.949951,1416.180054,1409.459961,1407.050049,1409.280029,1413.939941,1418.069946,1418.550049,,-0.005226588,0.002588381,0.006869075,0.007032699,0.002254103,0.000540436,0.002126155,0.005439775,0.008376584,0.008717981
93,0012-12-14,1413.579956,1414.726399,,1430.359985,1446.790039,1435.810059,1443.689941,1430.150024,1426.660034,1419.829956,1418.099976,1402.430054,1426.189941,,0.011870591,0.023493601,0.015726102,0.021300518,0.011722059,0.009253158,0.004421398,0.003197569,-0.007887705,0.008920603
94,0013-06-24,1573.089966,1577.741498,,1588.030029,1603.26001,1613.199951,1606.280029,1614.959961,1614.079956,1615.410034,1631.890015,1640.459961,1652.319946,,0.009497272,0.019178842,0.025497579,0.021098643,0.026616402,0.02605699,0.02690251,0.037378694,0.042826537,0.050365829
95,0013-08-27,1630.47998,1636.776899,,1634.959961,1638.170044,1632.969971,1639.77002,1653.079956,1655.079956,1655.170044,1671.709961,1683.98999,1689.130005,,0.002747646,0.004716442,0.001527152,0.005697733,0.013860934,0.015087567,0.015142819,0.025287021,0.032818563,0.035971018
