"","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Fund-51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0161777052303287,0.0282525834171169,0.020031105187861,0.0283391890259741,0.00356445119474891,0.028694902982,0.000975788343425244,-0.00300702636024128,0.0119693822615055,0.0295463086791279,0.00266484254700371,0.00423149081286114,0.00138570813375219,0.0216172878308794,0.0263199795875499,0.0312598152279224,0.0284907288015377,0.0216996788916005,-0.0157333319761456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fund-53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fund-54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0574475368446384,0.017103104915418,0.0611740357974142,0.0624429166104207,0.104958957086739,0.00676566587067029,0.0123881770390712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fund-55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00839152535862664,0.00852251659489252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fund-56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.000932489577395232,0.00977311778926595,0.0246070409366396,-0.00320271271707465,0.0342763146701695,0.0122485560106416,0.00870714353832037,-0.00338897801388815,0.0262217168390452,0.0060626913420889,0.0168849537925176,0.011325482516715,0.0185855062515875,-0.00429193860256246,0.00682601059700162,-0.00808783570330704,0.0254667137161877,0.0155198989218899,0.00642925951724686,0.00437632375812522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fund-57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0392933774842431,-0.00330951786032814,0.0524645169206886,0.036465445883453,0.0419359207607794,-0.00296607656898653,0.0572674161159721,-0.0127692004331648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fund-59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.045747301239056,-0.0148320718841846,0.0253337142780425,-0.00398360954655877,0.00718489215683499,-0.0105090189524174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fund-60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00485676037688414,0.0109550489915521,-0.00580601216327417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fund-61",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0483605081993336,0.058219095346705,0.0417657372130651,0.0198702376713286,0.015788900106804,0.0318092784234502,0.0423302649662951,-0.0107518059965154,0.00149786673253299,0.0410942089040471,0.0147272892307933,0.0308376555887444,0.0474293978962054,0.0103871081741094,0.0050229169196291,0.0074574667348057,0.0027404672195023,-0.00631667186757214,0.0172544544205098,0.00972919681051342,-0.00402145629601189,0.0163947525310448,0.0222450345259891,0.00223866475634545,-0.000603018229368753,-0.017644102884507,0.0119308792128559,NA
"Fund-62",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0240676580329125,-0.00204834194346627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fund-63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.05612642288963e-05,0.0642818419436644,0.0478344119130684,0.0508594171244474,-0.0065998651115006,0.0356843654026309,0.0276284654329546,0.0142574194278028,-0.00331714079505601,-0.00165822386010276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fund-64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0188960815018913,-0.0204986694501517,-0.0078929781078304,-0.00542834019806365,0.0101836108734541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fund-66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0190178949118772,0.0209715434751361,0.00610149780899902,0.0153831468023032,-0.00462262852930336,0.011372386358116,0.00844699114321963,0.0183189616663778,0.0145983185116871,-0.00678549739977352,-0.0107206728113341,0.027891644911076,0.0212450279952059,0.00490224060878027,0.014242528081845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fund-67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fund-69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00179722939058064,-0.0146927493431478,0.00713156210250927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fund-70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0615292610730151,0.0545848597741453,-0.000742710785134763,0.0196369001960237,0.00445749162305075,0.0192123467533591,0.00216347851618215,0.0497343560228196,0.0392126482549145,0.0125800067531315,0.0606349372440686,-0.00691030803557097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fund-72",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.020898507949043,0.0129534575469899,0.0185791501221862,0.028160140589777,-0.00257046583815149,0.0214129867890126,0.00398444392032928,0.039508857894847,-0.0211703234994072,0.0152528498645952,0.0165055233751942,0.0157920644263218,0.00166238364195181,0.0214929600608922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fund-74",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00956107666668786,-0.000977898877959175,0.0192883227785399,0.0137870215313599,0.0108509711952943,0.00520391869119033,0.00657979173193572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fund-78",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0219180948253529,0.0478403435201014,-0.0146952613922727,0.0132824723996795,0.0165378089919566,0.0233773423745924,0.000852815590307821,0.0299860700188002,0.00409255692439879,0.0234837586913441,0.0124693314448544,0.0265397623583933,0.0179086211930283,0.0259887682415347,0.00918124437588888,0.0128422974676837,-0.0229317941427896,0.0046525161770755,0.0139452808705921,-0.0183920044016563,0.0125481288573129,0.019368254267751,0.00383793049670597,NA,NA,NA,NA
"Fund-79",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00360037111676268,0.0241420842009517,0.0131062047975055,-0.00215340129075825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fund-80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00959292881419564,0.0156684913076772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fund-81",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0467615026046692,-0.0126754846095033,0.0115133235616801,0.00521088418542853,-0.00153609456759561,-0.0218246128895256,-0.0198684498171486,-0.0259913438935487,-0.0239493596639924,-0.00919724344066231,0.0071332414094499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fund-82",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0380764852461695,-0.0192773372814439,0.0374783986725188,0.0261116147402744,0.0243495902049253,-0.00846150432443855,0.0316337280793228,0.0315171999548875,0.0303236999508017,0.0317475741686347,0.0422591666907641,0.021829667434149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fund-84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0724142432021636,-0.00779862963630652,0.00236305962530915,0.0136724817988797,0.00514862942456356,0.00110380060588421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fund-85",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03082314606078,0.0393518162031638,0.0144466616407528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fund-86",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0469700249413182,-0.00655110667326025,0.0472080269776237,0.0402905866909084,0.0684618767136115,0.00552681587745913,0.0268225622142875,0.0196877114104261,0.015285039026221,0.0101175557285939,0.102396198206689,0.0485689844392363,0.0298440166172717,0.0557231254817429,0.00186721606503656,-0.0238788696512941,0.0512743880602131,0.0199864855839273,0.000926929578420435,0.0159102654038839,0.0188116592158785,0.0164186393058608,-0.0289375764886008,0.0300762607010979,-0.00671397128130423,NA
"Fund-87",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0227772865601811,0.0290930012190382,-0.00748005891595643,0.0141291873029545,0.060483040524729,0.0237767566613556,-0.0119343745807439,0.0235663055371113,-0.00336446962618308,-0.00809509043224045,-0.00366175628847582,0.0453430804823554,0.00763039811759599,0.0198287968372727,0.00733952325709201,0.0133082746151756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fund-113",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0218422366405326,0.078333596289536,0.00288551817175865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
