"","Year 1995","Sharpe.Ratios"," ","Year 1996","Sharpe.Ratios"," ","Year 1997","Sharpe.Ratios"," ","Year 1998","Sharpe.Ratios"," ","Year 1999","Sharpe.Ratios"," ","Year 2000","Sharpe.Ratios"," ","Year 2001","Sharpe.Ratios"," ","Year 2002","Sharpe.Ratios"," ","Year 2003","Sharpe.Ratios"," ","Year 2004","Sharpe.Ratios"," ","Year 2005","Sharpe.Ratios"," ","Year 2006","Sharpe.Ratios"," ","Year 2007","Sharpe.Ratios"," ","Year 2008","Sharpe.Ratios"," ","Year 2009","Sharpe.Ratios"," ","Year 2010","Sharpe.Ratios"," ","Year 2011","Sharpe.Ratios"," ","Year 2012","Sharpe.Ratios"," ","Year 2013","Sharpe.Ratios"," ","Year 2014","Sharpe.Ratios"," ","Year 2015","Sharpe.Ratios"," ","Year 2016","Sharpe.Ratios"," ","Years","Sharpe.Ratios","Spaces"
"21","Fund-1434",0.107750230576112," ","Fund-1202",0.125817675883734," ","Fund-940",0.122735834974408," ","Fund-38313",0.0712979052161328," ","Fund-4961",0.118119528686487," ","Fund-48802",0.129137251846415," ","Fund-4006",0.0974463749021495," ","Fund-53429",0.0992472340869838," ","Fund-5082",0.13556487569297," ","Fund-36544",0.140832551549612," ","Fund-41700",0.188417118341219," ","Fund-34563",0.357640335743762," ","Fund-70204",0.42654146546814," ","Fund-74327",0.155557495880084," ","Fund-70201",0.10672286890811," ","Fund-78099",0.0897133551711526," ","Fund-77774",0.0551687650207566," ","Fund-74889",0.0734834370266771," ","Fund-78274",0.081964253521091," ","Fund-76666",0.0488049483931252," ","Fund-73012",0.0424847631030338," ","Fund-40594",0.0570447880791458," ","Fund-2359",0.0787071903939955," "
"22","Fund-4198",0.106884007049568," ","Fund-2790",0.125065808022764," ","Fund-1886",0.122712384520491," ","Fund-2120",0.0709616607595521," ","Fund-1240",0.115467344664463," ","Fund-71384",0.128096091970659," ","Fund-4007",0.0969189918186321," ","Fund-4619",0.099180344105417," ","Fund-36822",0.134034575812228," ","Fund-35377",0.133796733628965," ","Fund-72989",0.177616817859989," ","Fund-41674",0.356964613859794," ","Fund-70205",0.41821785410753," ","Fund-51458",0.134604754793624," ","Fund-81977",0.105874791493222," ","Fund-33725",0.0896901552803584," ","Fund-80545",0.0535606930691225," ","Fund-33725",0.0673312315328994," ","Fund-78501",0.0804876767630719," ","Fund-78075",0.0474421247057609," ","Fund-4529",0.0415969806331643," ","Fund-71825",0.0529107963163008," ","Fund-70655",0.0786808312120269," "
"23","Fund-2309",0.104140532334216," ","Fund-4298",0.125065808022764," ","Fund-71568",0.122347586499837," ","Fund-82580",0.0688705316776886," ","Fund-4529",0.114383426685001," ","Fund-35680",0.126884013377497," ","Fund-50488",0.0949147430861982," ","Fund-71813",0.0962227618664672," ","Fund-44343",0.130097065468821," ","Fund-42721",0.129693687287207," ","Fund-73039",0.172540357275466," ","Fund-41711",0.356964613859794," ","Fund-74940",0.385260119960903," ","Fund-78075",0.121700889670969," ","Fund-79708",0.10583290625898," ","Fund-72931",0.0873640935847945," ","Fund-83187",0.0530142362706902," ","Fund-52868",0.0662804764692126," ","Fund-78611",0.0781500850602137," ","Fund-78084",0.047031285782486," ","Fund-78317",0.0412841483012542," ","Fund-48162",0.0497894617421363," ","Fund-78656",0.0770401726999427," "
"24","Fund-2185",0.103571422091503," ","Fund-2532",0.125004327405833," ","Fund-4060",0.122341161912442," ","Fund-1647",0.0688021722791329," ","Fund-37320",0.113908427428279," ","Fund-71049",0.126231238889343," ","Fund-1713",0.0939114739687827," ","Fund-36357",0.0926709412499935," ","Fund-35377",0.128693969214222," ","Fund-1885",0.126321598887745," ","Fund-46849",0.156661968917737," ","Fund-57560",0.333192412341554," ","Fund-75813",0.376842766889615," ","Fund-79941",0.120108114056283," ","Fund-70203",0.105338992067523," ","Fund-73186",0.0867137111127644," ","Fund-39804",0.0524900914561865," ","Fund-77982",0.0657223620618939," ","Fund-78643",0.0725444914608799," ","Fund-80543",0.0463572014600829," ","Fund-82948",0.0410780634286712," ","Fund-77982",0.0491849960686672," ","Fund-4372",0.07529911815119," "
"25","Fund-1077",0.102448715492977," ","Fund-1903",0.123651521208221," ","Fund-1884",0.119100588968643," ","Fund-3843",0.068605795827196," ","Fund-1483",0.113213446043059," ","Fund-1950",0.122298020149588," ","Fund-2986",0.0910687047866209," ","Fund-33897",0.0907535823534368," ","Fund-36186",0.121701353827277," ","Fund-41837",0.124680135578853," ","Fund-46848",0.15595107483504," ","Fund-2074",0.296224718223234," ","Fund-75215",0.370252298818194," ","Fund-1463",0.112244499837592," ","Fund-34993",0.105133742392523," ","Fund-82541",0.0753272744042169," ","Fund-78656",0.0524028071812353," ","Fund-79401",0.065121001459451," ","Fund-36061",0.0693058334296665," ","Fund-38777",0.0455346044221696," ","Fund-78078",0.040836311623758," ","Fund-83383",0.0475865669998414," ","Fund-74889",0.0739479338655604," "
"26","Fund-4980",0.102329085157842," ","Fund-518",0.123342792899404," ","Fund-2570",0.116744622141636," ","Fund-1480",0.0683447373926848," ","Fund-1817",0.112712159333611," ","Fund-1946",0.121692361002886," ","Fund-71813",0.0909031759031188," ","Fund-2568",0.0898747968616956," ","Fund-36995",0.120079975445539," ","Fund-41836",0.123769767214893," ","Fund-44342",0.153471573304772," ","Fund-74244",0.285318208504245," ","Fund-42721",0.364631401440833," ","Fund-34563",0.112244499837592," ","Fund-78637",0.104863123002208," ","Fund-52116",0.0722663262851685," ","Fund-70439",0.0517021024693307," ","Fund-79711",0.065121001459451," ","Fund-80644",0.0687644202224369," ","Fund-56685",0.0446088809820699," ","Fund-54065",0.0400590576452973," ","Fund-38777",0.0455737934239267," ","Fund-78815",0.0733877343660618," "
"27","Fund-951",0.102251211945412," ","Fund-504",0.121510678629333," ","Fund-4039",0.115781009961018," ","Fund-75530",0.0662742217315421," ","Fund-1620",0.111058019451513," ","Fund-44341",0.119607451959776," ","Fund-1695",0.0891328651866744," ","Fund-3008",0.0894243452460014," ","Fund-4146",0.119176776798659," ","Fund-35265",0.117465176875356," ","Fund-44523",0.147798477662972," ","Fund-74281",0.274953899921394," ","Fund-38437",0.353032534165487," ","Fund-78084",0.111182894627843," ","Fund-78758",0.104863123002208," ","Fund-41490",0.071101476277847," ","Fund-73144",0.0515276533861233," ","Fund-53672",0.0642303700171808," ","Fund-80645",0.0686935843342639," ","Fund-77774",0.0443262902275648," ","Fund-83161",0.036963518275927," ","Fund-81633",0.0442447287632811," ","Fund-1067",0.0729353799721487," "
"28","Fund-1406",0.096131697742612," ","Fund-37320",0.12011124166288," ","Fund-1230",0.114740999371445," ","Fund-1382",0.0652287351870406," ","Fund-2476",0.108909034392537," ","Fund-71803",0.119025554243391," ","Fund-1230",0.0845178998866568," ","Fund-34298",0.0880610090090157," ","Fund-33857",0.117251310426125," ","Fund-36592",0.116184224394241," ","Fund-3711",0.1462843718624," ","Fund-70018",0.269997447993111," ","Fund-4148",0.315722278926391," ","Fund-54065",0.110612371134144," ","Fund-78541",0.104863122989607," ","Fund-41492",0.0706953684609802," ","Fund-48313",0.051106659260739," ","Fund-82881",0.063849743420422," ","Fund-36619",0.0682799256667267," ","Fund-78099",0.0429152375163354," ","Fund-82356",0.0369521414944528," ","Fund-72470",0.043781687129365," ","Fund-78825",0.0727547090525004," "
"29","Fund-2989",0.0959112205225191," ","Fund-4980",0.1184687118585," ","Fund-518",0.109028528532352," ","Fund-1204",0.0640666474343105," ","Fund-1885",0.103357613262904," ","Fund-2755",0.118810536671722," ","Fund-5197",0.0844544829328008," ","Fund-70663",0.0873306390449984," ","Fund-77390",0.117249595131405," ","Fund-56955",0.116184224394241," ","Fund-2074",0.146133118581106," ","Fund-74303",0.261720710101792," ","Fund-75812",0.307012287161583," ","Fund-77215",0.101978969206004," ","Fund-71384",0.103864726847652," ","Fund-50768",0.0704040639225864," ","Fund-70440",0.0503492190932604," ","Fund-54292",0.0634702181716462," ","Fund-33450",0.0681069138691389," ","Fund-79269",0.0426836042361081," ","Fund-82706",0.035413245403675," ","Fund-78316",0.0432996193847658," ","Fund-81780",0.0720071171122268," "
"30","Fund-73354",0.0927926742555716," ","Fund-35997",0.118323872143952," ","Fund-4961",0.108843909679894," ","Fund-36001",0.0638775049664162," ","Fund-79040",0.102946039805121," ","Fund-4108",0.116924823009573," ","Fund-1620",0.0836813049220319," ","Fund-70664",0.0863353654777065," ","Fund-37490",0.114826308037676," ","Fund-40384",0.116075110952844," ","Fund-39642",0.143220940269271," ","Fund-44523",0.25169528765034," ","Fund-75825",0.28918765418837," ","Fund-78131",0.100002310309408," ","Fund-75012",0.101636331780681," ","Fund-82317",0.0703670091833094," ","Fund-71075",0.0498534891369586," ","Fund-77477",0.0624883294681548," ","Fund-54060",0.0681069138691389," ","Fund-78656",0.0416031152193972," ","Fund-82705",0.0349506968836289," ","Fund-39264",0.0420711041469975," ","Fund-51978",0.0719945089230526," "
"31","Fund-2755",0.0920849264954985," ","Fund-1883",0.114834498864927," ","Fund-1482",0.107561688957366," ","Fund-1201",0.0637306704215037," ","Fund-79041",0.102946039805121," ","Fund-73065",0.116902944076426," ","Fund-3711",0.0832889880228722," ","Fund-76958",0.0856261691330059," ","Fund-1885",0.114707312602806," ","Fund-43550",0.115951939885162," ","Fund-54366",0.141575766238116," ","Fund-49900",0.251258618220291," ","Fund-54291",0.287937107150261," ","Fund-78132",0.0937342155208782," ","Fund-34298",0.0985259282211396," ","Fund-78568",0.0672608200150408," ","Fund-48986",0.0494311036913851," ","Fund-82948",0.0611521371181243," ","Fund-36616",0.0679344015529988," ","Fund-78643",0.041553389902359," ","Fund-74667",0.0343657628216331," ","Fund-33450",0.0405020408374175," ","Fund-70124",0.0719270637871102," "
