Dates,Daily.Returns,200.MA,Close,200.D.MA.Price,50.D.MA.Price,100.D.MA.Price
06/07/11,0.001,0.0551,1339.219971,1269.244,1317.293198,1316.428599
07/07/11,0.01,0.0653,1353.219971,1270.227,1317.372598,1316.602098
08/07/11,-0.007,0.057,1343.800049,1271.294,1317.492197,1316.842798
11/07/11,-0.018,0.0371,1319.48999,1272.342,1317.254998,1316.957599
12/07/11,-0.004,0.0317,1313.640015,1273.315,1316.435198,1316.872399
13/07/11,0.003,0.0342,1317.719971,1274.14,1315.435798,1316.645599
14/07/11,-0.007,0.0266,1308.869995,1275.018,1314.565798,1316.418499
15/07/11,0.006,0.0316,1316.140015,1275.823,1313.610798,1316.077098
18/07/11,-0.008,0.0225,1305.439941,1276.68,1312.9872,1316.084099
19/07/11,0.016,0.0385,1326.72998,1277.502,1312.393999,1316.064498
20/07/11,-0.001,0.0371,1325.839966,1278.404,1312.1246,1316.270798
21/07/11,0.014,0.0504,1343.800049,1279.348,1311.715598,1316.330398
22/07/11,0.001,0.0506,1345.02002,1280.263,1311.448398,1316.496199
25/07/11,-0.006,0.0439,1337.430054,1281.189,1311.5072,1316.883099
26/07/11,-0.004,0.0389,1331.939941,1282.086,1311.2828,1317.173001
27/07/11,-0.02,0.0171,1304.890015,1282.919,1311.166199,1317.1827
28/07/11,-0.003,0.0133,1300.670044,1283.617,1310.6746,1317.0201
29/07/11,-0.006,0.0062,1292.280029,1284.272,1310.108401,1316.925501
01/08/11,-0.004,0.0016,1286.939941,1284.843,1309.1404,1316.630101
02/08/11,-0.026,-0.0244,1254.050049,1285.408,1308.0072,1316.299301
03/08/11,0.005,-0.0198,1260.339966,1285.798,1306.4228,1315.888701
04/08/11,-0.048,-0.0669,1200.069946,1286.176,1305.2822,1315.449301
05/08/11,-0.001,-0.0676,1199.380005,1286.347,1302.957998,1314.4861
08/08/11,-0.067,-0.1298,1119.459961,1286.453,1300.536199,1313.6612
09/08/11,0.047,-0.0883,1172.530029,1286.149,1296.411599,1312.287
10/08/11,-0.044,-0.1286,1120.76001,1286.096,1293.2402,1311.2751
11/08/11,0.046,-0.088,1172.640015,1285.772,1288.751401,1309.690601
12/08/11,0.005,-0.0831,1178.810059,1285.707,1285.913201,1308.433201
15/08/11,0.022,-0.0632,1204.48999,1285.688,1283.230603,1307.283601
16/08/11,-0.01,-0.0724,1192.76001,1285.792,1281.317202,1306.353101
