"","Date","Lead.Contract","CL0","CL1","CL2","CL3","CL4","CL5"
"68","19900406","SSAN90.b01","SSAN90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01"
"69","19900409","SSAN90.b01","SSAN90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01"
"70","19900410","SSAN90.b01","SSAN90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01"
"71","19900411","SSAN90.b01","SSAN90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01"
"72","19900412","SSAN90.b01","SSAN90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01"
"73","19900416","SSAN90.b01","SSAN90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01"
"74","19900417","SSAN90.b01","SSAN90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01"
"75","19900418","SSAN90.b01","SSAN90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01"
"76","19900419","SSAN90.b01","SSAN90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01"
"77","19900420","SSAN90.b01","SSAN90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01"
"78","19900423","SSAN90.b01","SSAN90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01"
"79","19900424","SSAN90.b01","SSAN90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01"
"80","19900425","SSAN90.b01","SSAN90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01"
"81","19900426","SSAN90.b01","SSAN90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01"
"82","19900427","SSAN90.b01","SSAN90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01"
"83","19900430","SSAN90.b01","SSAN90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01"
"84","19900501","SSAN90.b01","SSAN90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01"
"85","19900502","SSAN90.b01","SSAN90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01"
"86","19900503","SSAN90.b01","SSAN90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01"
"87","19900504","SSAN90.b01","SSAN90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01"
"88","19900507","SSAN90.b01","SSAN90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01"
"89","19900508","SSAN90.b01","SSAN90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01"
"90","19900509","SSAN90.b01","SSAN90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01"
"91","19900510","SSAN90.b01","SSAN90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01"
"92","19900511","SSAN90.b01","SSAN90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01"
"93","19900514","SSAN90.b01","SSAN90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01"
"94","19900515","SSAN90.b01","SSAN90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01"
"95","19900516","SSAN90.b01","SSAN90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01"
"96","19900517","SSAN90.b01","SSAN90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01"
"97","19900518","SSAN90.b01","SSAN90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01"
"98","19900521","SSAN90.b01","SSAN90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01"
"99","19900522","SSAN90.b01","SSAN90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01"
"100","19900523","SSAN90.b01","SSAN90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01"
"101","19900524","SSAN90.b01","SSAN90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01"
"102","19900525","SSAN90.b01","SSAN90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01"
"103","19900529","SSAN90.b01","SSAN90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01"
"104","19900530","SSAN90.b01","SSAN90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01"
"105","19900531","SSAN90.b01","SSAN90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01"
"106","19900601","SSAN90.b01","SSAN90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01"
"107","19900604","SSAN90.b01","SSAN90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01"
"108","19900605","SSAN90.b01","SSAN90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01"
"109","19900606","SSAN90.b01","SSAN90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01"
"110","19900607","SSAN90.b01","SSAN90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01"
"111","19900608","SSAN90.b01","SSAN90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01"
"112","19900611","SSAN90.b01","SSAN90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01"
"113","19900612","SSAN90.b01","SSAN90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01"
"114","19900613","SSAX90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01","SSAX91.b01"
