"","Date","Lead.Contract","CL0","CL1","CL2","CL3","CL4"
"65","19900403","CNAK90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01"
"66","19900404","CNAK90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01"
"67","19900405","CNAK90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01"
"68","19900406","CNAK90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01"
"69","19900409","CNAK90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01"
"70","19900410","CNAK90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01"
"71","19900411","CNAK90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01"
"72","19900412","CNAK90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01"
"73","19900416","CNAK90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01"
"74","19900417","CNAK90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01"
"75","19900418","CNAK90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01"
"76","19900419","CNAK90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01"
"77","19900420","CNAK90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01"
"78","19900423","CNAK90.b01","CNAK90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01"
"79","19900424","CNAN90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01"
"80","19900425","CNAN90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01"
"81","19900426","CNAN90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01"
"82","19900427","CNAN90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01"
"83","19900430","CNAN90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01"
"84","19900501","CNAN90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01"
"85","19900502","CNAN90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01"
"86","19900503","CNAN90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01"
"87","19900504","CNAN90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01"
"88","19900507","CNAN90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01"
"89","19900508","CNAN90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01"
"90","19900509","CNAN90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01"
"91","19900510","CNAN90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01"
"92","19900511","CNAN90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01"
"93","19900514","CNAN90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01"
"94","19900515","CNAN90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01"
"95","19900516","CNAN90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01"
"96","19900517","CNAN90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01"
"97","19900518","CNAN90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01"
"98","19900521","CNAN90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01"
"99","19900522","CNAN90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01"
"100","19900523","CNAN90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01"
"101","19900524","CNAN90.b01","CNAN90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01"
"102","19900525","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"103","19900529","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"104","19900530","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"105","19900531","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"106","19900601","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"107","19900604","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"108","19900605","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"109","19900606","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"110","19900607","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"111","19900608","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"112","19900611","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"113","19900612","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"114","19900613","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"115","19900614","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"116","19900615","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"117","19900618","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"118","19900619","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"119","19900620","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"120","19900621","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"121","19900622","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"122","19900625","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"123","19900626","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"124","19900627","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"125","19900628","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"126","19900629","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"127","19900702","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"128","19900703","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"129","19900705","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"130","19900706","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"131","19900709","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"132","19900710","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
