,Dates,Daily.Returns,Close,,Dates,Daily.Returns,Close
,,,,,24/03/98,0.009,1105.650024
,,,,,25/03/98,-0.003,1101.930054
,,,,,26/03/98,-0.001,1100.800049
,,,,,27/03/98,-0.005,1095.439941
,,,,,30/03/98,-0.002,1093.599976
,,,,,31/03/98,0.007,1101.75
,,,,,01/04/98,0.006,1108.150024
,,,,,02/04/98,0.011,1120.01001
,,,,,03/04/98,0.002,1122.699951
,,,,,06/04/98,-0.001,1121.380005
,,,,,07/04/98,-0.011,1109.550049
,,,,,08/04/98,-0.007,1101.650024
,,,,,09/04/98,0.008,1110.670044
,,,,,13/04/98,-0.001,1109.689941
,,,,,14/04/98,0.005,1115.75
,,,,,15/04/98,0.003,1119.319946
,,,,,16/04/98,-0.01,1108.170044
,,,,,17/04/98,0.013,1122.719971
,,,,,20/04/98,0.001,1123.650024
,,,,,21/04/98,0.003,1126.670044
,,,,,22/04/98,0.003,1130.540039
,,,,,23/04/98,-0.01,1119.579956
,,,,,24/04/98,-0.01,1107.900024
,,,,,27/04/98,-0.019,1086.540039
,,,,,28/04/98,-0.001,1085.109985
,,,,,29/04/98,0.009,1094.619995
,,,,,30/04/98,0.016,1111.75
,,,,,01/05/98,0.008,1121
,,,,,04/05/98,0.001,1122.069946
,,,,,05/05/98,-0.006,1115.5
,,,,,06/05/98,-0.009,1104.920044
,,,,,07/05/98,-0.009,1095.140015
,,,,,08/05/98,0.012,1108.140015
,,,,,11/05/98,-0.001,1106.640015
,,,,,12/05/98,0.008,1115.790039
,,,,,13/05/98,0.003,1118.859985
,,,,,14/05/98,-0.001,1117.369995
,,,,,15/05/98,-0.008,1108.72998
,,,,,18/05/98,-0.003,1105.819946
,,,,,19/05/98,0.003,1109.52002
,,,,,20/05/98,0.009,1119.060059
,,,,,21/05/98,-0.004,1114.640015
,,,,,22/05/98,-0.004,1110.469971
,,,,,26/05/98,-0.015,1094.02002
,,,,,27/05/98,-0.002,1092.22998
,,,,,28/05/98,0.005,1097.599976
,,,,,29/05/98,-0.006,1090.819946
,,,,,01/06/98,0,1090.97998
,,,,,02/06/98,0.002,1093.219971
,,,,,03/06/98,-0.01,1082.72998
,,,,,04/06/98,0.011,1094.829956
,,,,,05/06/98,0.017,1113.859985
,,,,,08/06/98,0.002,1115.719971
,,,,,09/06/98,0.002,1118.410034
,,,,,10/06/98,-0.005,1112.280029
,,,,,11/06/98,-0.016,1094.579956
,,,,,12/06/98,0.004,1098.839966
,,,,,15/06/98,-0.02,1077.01001
,,,,,16/06/98,0.01,1087.589966
,,,,,17/06/98,0.018,1107.109985
,,,,,18/06/98,-0.001,1106.369995
,,,,,19/06/98,-0.005,1100.650024
,,,,,22/06/98,0.002,1103.209961
,,,,,23/06/98,0.015,1119.48999
,,,,,24/06/98,0.012,1132.880005
,,,,,25/06/98,-0.003,1129.280029
,,,,,26/06/98,0.003,1133.199951
,,,,,29/06/98,0.005,1138.48999
,,,,,30/06/98,-0.004,1133.839966
,,,,,01/07/98,0.013,1148.560059
,,,,,02/07/98,-0.002,1146.420044
,,,,,06/07/98,0.01,1157.329956
,,,,,07/07/98,-0.002,1154.660034
,,,,,08/07/98,0.01,1166.380005
,,,,,09/07/98,-0.007,1158.560059
,,,,,10/07/98,0.005,1164.329956
,,,,,13/07/98,0.001,1165.189941
,,,,,14/07/98,0.011,1177.579956
,,,,,15/07/98,-0.002,1174.810059
,,,,,16/07/98,0.008,1183.98999
,,,,,17/07/98,0.002,1186.75
,,,,,20/07/98,-0.002,1184.099976
,,,,,21/07/98,-0.016,1165.069946
,,,,,22/07/98,-0.001,1164.079956
,,,,,23/07/98,-0.021,1139.75
,,,,,24/07/98,0.001,1140.800049
,,,,,27/07/98,0.006,1147.27002
,,,,,28/07/98,-0.015,1130.23999
,,,,,29/07/98,-0.004,1125.209961
,,,,,30/07/98,0.016,1142.949951
,,,,,31/07/98,-0.019,1120.670044
,,,,,03/08/98,-0.007,1112.439941
,,,,,04/08/98,-0.036,1072.119995
,,,,,05/08/98,0.009,1081.430054
,,,,,06/08/98,0.008,1089.630005
,,,,,07/08/98,0,1089.449951
,,,,,10/08/98,-0.006,1083.140015
,,,,,11/08/98,-0.013,1068.97998
,,,,,12/08/98,0.014,1084.219971
,,,,,13/08/98,-0.009,1074.910034
,,,,,14/08/98,-0.011,1062.75
,,,,,17/08/98,0.02,1083.670044
,,,,,18/08/98,0.016,1101.199951
,,,,,19/08/98,-0.003,1098.060059
,,,,,20/08/98,-0.006,1091.599976
,,,,,21/08/98,-0.009,1081.23999
,,,,,24/08/98,0.006,1088.140015
,,,,,25/08/98,0.004,1092.849976
,,,,,26/08/98,-0.008,1084.189941
,,,,,27/08/98,-0.038,1042.589966
,,,,,28/08/98,-0.015,1027.140015
,,,,,31/08/98,-0.068,957.280029
,,,,,01/09/98,0.039,994.26001
,,,,,02/09/98,-0.004,990.47998
,,,,,03/09/98,-0.008,982.26001
,,,,,04/09/98,-0.009,973.890015
,,,,,08/09/98,0.051,1023.460022
,,,,,09/09/98,-0.017,1006.200012
,,,,,10/09/98,-0.026,980.190002
,,,,,11/09/98,0.029,1009.059998
,,,,,14/09/98,0.02,1029.719971
,,,,,15/09/98,0.008,1037.680054
,,,,,16/09/98,0.008,1045.47998
,,,,,17/09/98,-0.025,1018.869995
,,,,,18/09/98,0.001,1020.090027
,,,,,21/09/98,0.004,1023.890015
,,,,,22/09/98,0.006,1029.630005
,,,,,23/09/98,0.035,1066.089966
,,,,,24/09/98,-0.022,1042.719971
,,,,,25/09/98,0.002,1044.75
,,,,,28/09/98,0.004,1048.689941
,,,,,29/09/98,0,1049.02002
,,,,,30/09/98,-0.031,1017.01001
,,,,,01/10/98,-0.03,986.390015
,,,,,02/10/98,0.016,1002.599976
,,,,,05/10/98,-0.014,988.559998
,,,,,06/10/98,-0.004,984.590027
,,,,,07/10/98,-0.014,970.679993
,,,,,08/10/98,-0.012,959.440002
,,,,,09/10/98,0.026,984.390015
,,,,,12/10/98,0.014,997.710022
,,,,,13/10/98,-0.003,994.799988
,,,,,14/10/98,0.011,1005.530029
,,,,,15/10/98,0.042,1047.48999
,,,,,16/10/98,0.009,1056.420044
,,,,,19/10/98,0.006,1062.390015
,,,,,20/10/98,0.001,1063.930054
,,,,,21/10/98,0.006,1069.920044
,,,,,22/10/98,0.008,1078.47998
,,,,,23/10/98,-0.007,1070.670044
,,,,,26/10/98,0.002,1072.319946
,,,,,27/10/98,-0.007,1065.339966
,,,,,28/10/98,0.003,1068.089966
,,,,,29/10/98,0.017,1085.930054
,,,,,30/10/98,0.012,1098.670044
,,,,,02/11/98,0.012,1111.599976
,,,,,03/11/98,-0.001,1110.839966
,,,,,04/11/98,0.007,1118.670044
,,,,,05/11/98,0.014,1133.849976
,,,,,06/11/98,0.006,1141.01001
,,,,,09/11/98,-0.009,1130.199951
,,,,,10/11/98,-0.002,1128.26001
,,,,,11/11/98,-0.006,1120.969971
,,,,,12/11/98,-0.003,1117.689941
,,,,,13/11/98,0.007,1125.719971
,,,,,16/11/98,0.009,1135.869995
,,,,,17/11/98,0.003,1139.319946
,,,,,18/11/98,0.005,1144.47998
,,,,,19/11/98,0.007,1152.609985
,,,,,20/11/98,0.009,1163.550049
