"","Dates","Daily.Returns","X200.MA","Close","X200.D.MA.Price","X50.D.MA.Price","X100.D.MA.Price"
"1931","22/09/1998",0.006,-0.0319,1029.630005,1063.568,1081.020397,1098.119196
"1935","28/09/1998",0.004,-0.0152,1048.689941,1064.909,1070.652797,1095.247896
"1980","01/12/1998",0.01,0.0784,1175.280029,1089.872,1078.496196,1081.162696
"1984","07/12/1998",0.009,0.087,1187.699951,1092.652,1088.717798,1081.077697
"1988","11/12/1998",0.001,0.0648,1166.459961,1095.439,1099.880198,1081.054498
"1992","17/12/1998",0.016,0.075,1179.97998,1097.619,1113.285994,1081.459796
"1996","23/12/1998",0.021,0.1164,1228.540039,1100.455,1130.529991,1084.013295
"2000","30/12/1998",-0.008,0.1162,1231.930054,1103.634,1146.887393,1089.678196
"2041","02/03/1999",-0.009,0.0825,1225.5,1132.11,1239.351404,1174.5452
"2045","08/03/1999",0.006,0.1304,1282.72998,1134.78,1244.201804,1185.307299
"2049","12/03/1999",-0.002,0.1373,1294.589966,1138.324,1249.466204,1196.322898
"2053","18/03/1999",0.014,0.1523,1316.550049,1142.496,1254.965801,1205.856796
"2057","24/03/1999",0.005,0.1065,1268.589966,1146.448,1257.226804,1214.738597
"2061","30/03/1999",-0.007,0.1311,1300.75,1150.001,1261.258206,1222.611198
"2106","03/06/1999",0.004,0.087,1299.540039,1195.58,1325.225005,1291.355404
"2110","09/06/1999",0.001,0.0988,1318.640015,1200.103,1328.737405,1294.018004
"2114","15/06/1999",0.006,0.0803,1301.160034,1204.417,1329.099204,1296.468304
"2118","21/06/1999",0.005,0.1141,1349,1210.882,1329.187805,1300.145005
"2122","25/06/1999",0,0.0802,1315.310059,1217.7,1328.15741,1302.870405
"2171","03/09/1999",0.029,0.0513,1357.23999,1291.042,1350.846406,1339.628507
"2175","10/09/1999",0.003,0.0437,1351.660034,1295.04,1352.558606,1341.025808
"2179","16/09/1999",0,0.0157,1318.47998,1298.038,1348.899409,1340.946709
"2183","22/09/1999",0.002,0.0071,1310.51001,1301.222,1342.986409,1339.751008
"2187","28/09/1999",-0.001,-0.0162,1282.199951,1303.333,1333.615608,1337.575708
"2232","01/12/1999",0.006,0.0524,1397.719971,1328.124,1336.074399,1340.445604
"2236","07/12/1999",-0.01,0.0583,1409.170044,1331.578,1345.825,1341.075004
"2240","13/12/1999",-0.001,0.0603,1415.219971,1334.729,1356.257202,1341.628804
"2244","17/12/1999",0.002,0.0618,1421.030029,1338.302,1364.984001,1343.848705
"2248","23/12/1999",0.015,0.0873,1458.339966,1341.221,1373.119402,1347.303505
"2252","30/12/1999",0.001,0.0893,1464.469971,1344.374,1388.440398,1353.254004
"2297","06/03/2000",-0.013,0.021,1391.280029,1362.666,1413.3146,1391.986101
"2301","10/03/2000",-0.005,0.0228,1395.069946,1363.941,1407.435798,1395.844799
"2305","16/03/2000",0.048,0.0679,1458.469971,1365.68,1400.9874,1400.259698
"2309","22/03/2000",0.005,0.0963,1500.640015,1368.764,1405.5272,1407.255098
"2313","28/03/2000",-0.011,0.0981,1507.72998,1372.998,1411.551597,1413.975897
"2358","01/06/2000",0.02,0.0391,1448.810059,1394.269,1450.964597,1427.721898
"2362","07/06/2000",0.009,0.0533,1471.359985,1396.84,1447.008999,1428.538499
"2366","13/06/2000",0.016,0.0506,1469.439941,1398.683,1443.167998,1428.639597
"2370","19/06/2000",0.015,0.0603,1486,1401.48,1441.098398,1430.486397
"2374","23/06/2000",-0.007,0.0266,1441.47998,1404.091,1438.508801,1433.846296
"2378","29/06/2000",-0.009,0.0257,1442.390015,1406.203,1441.238401,1435.190497
"2423","01/09/2000",0.002,0.0548,1520.77002,1441.829,1475.538398,1457.507699
"2427","08/09/2000",-0.005,0.0353,1494.5,1443.549,1480.000195,1460.085498
"2431","14/09/2000",-0.003,0.0248,1480.869995,1445.072,1482.586397,1462.541499
"2435","20/09/2000",-0.006,0.0036,1451.339966,1446.182,1482.459797,1462.7203
"2439","26/09/2000",-0.008,-0.0136,1427.209961,1446.9,1478.630198,1462.781
"2488","05/12/2000",0.039,-0.0424,1376.540039,1437.531,1385.735393,1432.892295
"2492","11/12/2000",0.008,-0.04,1380.199951,1437.74,1379.542195,1427.344996
"2496","15/12/2000",-0.021,-0.0873,1312.150024,1437.625,1373.917798,1422.722798
"2500","21/12/2000",0.008,-0.1122,1274.859985,1436.037,1365.335996,1417.247498
"2504","28/12/2000",0.004,-0.0699,1334.219971,1434.464,1360.971194,1411.573796
"2549","06/03/2001",0.01,-0.1058,1253.800049,1402.111,1314.373604,1341.0776
"2553","12/03/2001",-0.043,-0.1565,1180.160034,1399.087,1311.435808,1336.6605
"2557","16/03/2001",-0.02,-0.1751,1150.530029,1394.772,1300.463809,1329.286602
"2561","22/03/2001",-0.004,-0.1952,1117.579956,1388.631,1286.683611,1319.590201
"2565","28/03/2001",-0.024,-0.1657,1153.290039,1382.353,1273.340208,1309.792101
"2610","01/06/2001",0.004,-0.0509,1260.670044,1328.222,1218.416597,1254.287303
"2614","07/06/2001",0.005,-0.0354,1276.959961,1323.869,1229.399399,1252.733604
"2618","13/06/2001",-0.011,-0.0587,1241.599976,1319.07,1237.567798,1250.028802
"2622","19/06/2001",0.003,-0.0767,1212.579956,1313.327,1245.1126,1244.770001
"2626","25/06/2001",-0.006,-0.0681,1218.599976,1307.628,1251.068999,1239.247501
"2630","29/06/2001",-0.001,-0.0597,1224.380005,1302.15,1252.658594,1233.5412
"2675","04/09/2001",-0.001,-0.0956,1132.939941,1252.738,1194.427803,1222.153801
"2679","10/09/2001",0.006,-0.1243,1092.540039,1247.66,1186.129404,1219.5136
"2683","20/09/2001",-0.031,-0.2071,984.539978,1241.759,1171.297407,1211.723201
"2687","26/09/2001",-0.005,-0.1846,1007.039978,1235.048,1154.816007,1202.1259
"2736","05/12/2001",0.022,-0.0057,1170.349976,1177.086,1096.769801,1127.485404
"2740","11/12/2001",-0.003,-0.0318,1136.76001,1174.15,1107.906404,1125.987103
"2744","17/12/2001",0.01,-0.0318,1134.359985,1171.623,1113.596602,1122.753904
"2748","21/12/2001",0.004,-0.0211,1144.890015,1169.591,1119.500806,1120.781405
"2752","28/12/2001",0.003,-0.0055,1161.02002,1167.462,1123.889605,1118.496805
"2797","06/03/2002",0.015,0.0095,1162.77002,1151.86,1126.678001,1122.500002
"2801","12/03/2002",-0.002,0.0138,1165.579956,1149.765,1128.158801,1125.428303
"2805","18/03/2002",-0.001,0.0162,1165.550049,1146.943,1128.518201,1128.649804
"2809","22/03/2002",-0.004,0.0035,1148.699951,1144.714,1128.076201,1131.462904
"2813","28/03/2002",0.002,0.0045,1147.390015,1142.196,1127.434998,1134.074502
